Description;Native;Bytes;R-encoding;Synonyms;DefWords;DescDef
ant;🐜;\xF0\x9F\x90\x9C;<ed><a0><bd><ed><b0><9c>;ant pest vermin;social insect living organized colonies characteristically males fertile queen wings breeding season wingless sterile females workers serious sometimes fatal epidemic disease high death rate persistently annoying person unwanted destructive insect animal attacks food crops livestock etc irritating obnoxious person various small animals insects pests eg cockroaches rats;social insect living organized colonies characteristically males fertile queen wings breeding season wingless sterile females workers
antenna with bars;📶;\xF0\x9F\x93\xB6;<ed><a0><bd><ed><b3><b6>;antenna wire receiver with along alongside bars streak pig;electrical device sends receives radio television signals sensitivity similar receptor organ one pair mobile appendages head eg insects crustaceans typically sensitive touch taste provide electrical circuits send cables wires telegrams fasten wire string wire equip use electricity set receives radio tv signals usually appointed court law earphone converts electrical signals sounds person receives something tennis player receives serve football player catches or supposed catch forward motion accompaniment companion advanced state addition usually followed with side side prevent entering keep render unsuitable passage expel official decree secure with with bars move quickly straight line run naked public place mark spots blotches different color shades color stained live like pig squalor eat greedily give birth piglets;electrical device sends receives radio television signals sensitivity similar receptor organ one pair mobile appendages head eg insects crustaceans typically sensitive touch taste prevent entering keep render unsuitable passage expel official decree secure with with bars room establishment alcoholic drinks served counter counter obtain food drink rigid piece metal wood usually used fastening obstruction weapon musical notation repeating pattern musical beats obstruction usually metal act preventing meteorology submerged or partly submerged body individuals qualified practice law particular jurisdiction narrow marking different color texture background block solid substance such soap wax portable 30 caliber automatic rifle operated gas pressure fed cartridges magazine used united states troops world war i world war ii korean war horizontal rod serves support gymnasts perform exercises heating element electric fire gymnastic apparatus consisting two parallel wooden rods supported uprights
anticlockwise downwards and upwards open circle arrows;🔄;\xF0\x9F\x94\x84;<ed><a0><bd><ed><b4><84>;anticlockwise counter clockwise counter-clockwise downwards descending down and also furthermore upwards uphill higher open accessible wide circle sphere ring arrows missile projectile;direction opposite rotation hands clock indicating opposition resistance direction rotating hands clock spatially metaphorically higher lower level position coming downward moving lower position less value extending moving higher lower place becoming progressively lower put strikeout understood perfectly lower previously functioning temporarily permanently filled melancholy despondency addition addition spatially metaphorically lower higher position later time sloping upward greater normal degree intensity amount literal meaning sometimes used combinations like kneehigh standing others quality position used sounds voices high pitch frequency happy excited energetic used smell meat slightly pleasantly intoxicated alcohol drug especially marijuana advanced complexity elaboration education beyond secondary level affording unobstructed entrance exit shut closed affording free passage access protection shield open view used mouth eyes filled accessible defended capable defended of textures protecting cover enclosure set theory brought conclusion subject thought sealed unsealed without undue constriction eg tenseness inhibition ready willing receive favorably open observable secret hidden requiring union membership possibly accepting permitting affording free passage view openly straightforward direct without reserve secretiveness ready business capable reached capable read comprehension easily obtained easy get along talk to friendly great or certain broad scope content used eyes large expanse scope great degree ample fabric target travel around something move circular path someone something form draw circle around particular environment walk life spherically shaped artifact geographical area one nation influential particular aspect life activity solid figure bounded spherical surface including space encloses threedimensional closed surface every point surface equidistant center apparent surface imaginary sphere celestial bodies appear projected sound loudly sonorously ring echo sound make bells get try get communication with someone extend sides simultaneously encircle attach ring foot of order identify mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow rocket carrying warhead conventional nuclear explosives may ballistic directed remote control weapon forcibly thrown projected targets selfpropelled impelling impelled forward;direction opposite rotation hands clock direction opposite direction hands clock move spatially metaphorically higher lower level position spatially metaphorically lower higher position later time affording unobstructed entrance exit shut closed affording free passage access protection shield open view used mouth eyes filled accessible defended capable defended of textures protecting cover enclosure set theory brought conclusion subject thought sealed unsealed without undue constriction eg tenseness inhibition ready willing receive favorably open observable secret hidden requiring union membership possibly accepting permitting affording free passage view openly straightforward direct without reserve secretiveness ready business cause open become open start operate function cause start operating functioning become open begin set action meetings speeches recitals etc spread open closed folded state make available become available opening passage outlet make opening move afford access display contents file start application computer clear unobstructed space expanse land water air unconfined tournament professionals amateurs may play information become public travel around something move circular path someone something form draw circle around ellipse two axes equal length plane curve generated one point moving constant distance fixed point unofficial association people groups something approximating shape circle movement around course road junction traffic streams circularly around central island street names flunitrazepan curved section tier seats hall theater opera house usually first tier orchestra circular rotating mechanism mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow
aquarius;♒;\xE2\x99\x92;<e2><99><92>;aquarius Cancer Aries;astrology zodiacal constellation southern hemisphere capricornus pisces eleventh sign zodiac sun sign january 20 february 18 malignant growth tumor caused abnormal uncontrolled cell division may spread parts body lymphatic system blood stream astrology small zodiacal constellation northern hemisphere leo gemini fourth sign zodiac sun sign june 21 july 22 type genus family cancridae astrology small zodiacal constellation northern hemisphere pisces taurus first sign zodiac sun enters vernal equinox sun sign march 21 april 19;astrology zodiacal constellation southern hemisphere capricornus pisces eleventh sign zodiac sun sign january 20 february 18
aries;♈;\xE2\x99\x88;<e2><99><88>;aries Cancer Aquarius;astrology small zodiacal constellation northern hemisphere pisces taurus first sign zodiac sun enters vernal equinox sun sign march 21 april 19 malignant growth tumor caused abnormal uncontrolled cell division may spread parts body lymphatic system blood stream astrology small zodiacal constellation northern hemisphere leo gemini fourth sign zodiac sun sign june 21 july 22 type genus family cancridae astrology zodiacal constellation southern hemisphere capricornus pisces eleventh sign zodiac sun sign january 20 february 18;astrology small zodiacal constellation northern hemisphere pisces taurus first sign zodiac sun enters vernal equinox sun sign march 21 april 19
arrow pointing rightwards then curving downwards;⤵;\xE2\xA4\xB5;<e2><a4><b5>;arrow missile projectile pointing marking showing rightwards rewards right sorts then suddenly again curving meandering crooked downwards descending down;mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow rocket carrying warhead conventional nuclear explosives may ballistic directed remote control weapon forcibly thrown projected targets selfpropelled impelling impelled forward indicate place direction person thing either spatially figuratively oriented direct position use direct course determine direction travelling signal symptom sail close wind mark hebrew words mark diacritics mark a psalm text positionable specified manner intend something indicate presence game give point repair joints bricks attach tag label designate mark distinctive feature attribute trait sometimes positive sense celebrate ceremony observation make leave mark accuse condemn openly formally brand disgraceful notice perceive mark scar make small marks surface establish highest level best performance make underscoring marks remove list put check mark near next assign grade rank to according ones evaluation insert punctuation marks give exhibition interested audience establish validity something example explanation experiment provide evidence make visible noticeable show in in picture give expression indicate place direction person thing either spatially figuratively become visible noticeable indicate certain reading gauges instruments give evidence of records take someone finish third better horse dog race bestow honor rewards upon strengthen support rewards act give recompense recognition someones behavior actions located directed toward side body east facing north free error especially conforming fact truth socially right correct conformance justice law morality correct opinion judgment appropriate condition purpose occasion persons character needs belonging political intellectual right satisfactory condition intended right hand accord accepted standards usage procedure axis perpendicular base of side cloth clothing informal suitable right particular purpose precisely accurate examine order test suitability arrange order classes categories specific prior time happening unexpectedly quickly without warning impulse without premeditation  marked curve smoothly rounded bend path eg marked bends angles straight aligned straight dishonest immoral evasive irregular shape outline back shoulders rounded erect spatially metaphorically higher lower level position coming downward moving lower position less value extending moving higher lower place becoming progressively lower put strikeout understood perfectly lower previously functioning temporarily permanently filled melancholy despondency;mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow indicate place direction person thing either spatially figuratively oriented direct position use direct course determine direction travelling signal symptom sail close wind mark hebrew words mark diacritics mark a psalm text positionable specified manner intend something indicate presence game give point repair joints bricks specific prior time time moment subsequently soon afterward often used sentence connectors case consequence time marked curve smoothly rounded bend turn sharply change direction abruptly extend curves turns form arch curve bend cause bend form curl curve kink spatially metaphorically higher lower level position
arrow pointing rightwards then curving upwards;⤴;\xE2\xA4\xB4;<e2><a4><b4>;arrow missile projectile pointing marking showing rightwards rewards right sorts then suddenly again curving meandering crooked upwards uphill higher;mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow rocket carrying warhead conventional nuclear explosives may ballistic directed remote control weapon forcibly thrown projected targets selfpropelled impelling impelled forward indicate place direction person thing either spatially figuratively oriented direct position use direct course determine direction travelling signal symptom sail close wind mark hebrew words mark diacritics mark a psalm text positionable specified manner intend something indicate presence game give point repair joints bricks attach tag label designate mark distinctive feature attribute trait sometimes positive sense celebrate ceremony observation make leave mark accuse condemn openly formally brand disgraceful notice perceive mark scar make small marks surface establish highest level best performance make underscoring marks remove list put check mark near next assign grade rank to according ones evaluation insert punctuation marks give exhibition interested audience establish validity something example explanation experiment provide evidence make visible noticeable show in in picture give expression indicate place direction person thing either spatially figuratively become visible noticeable indicate certain reading gauges instruments give evidence of records take someone finish third better horse dog race bestow honor rewards upon strengthen support rewards act give recompense recognition someones behavior actions located directed toward side body east facing north free error especially conforming fact truth socially right correct conformance justice law morality correct opinion judgment appropriate condition purpose occasion persons character needs belonging political intellectual right satisfactory condition intended right hand accord accepted standards usage procedure axis perpendicular base of side cloth clothing informal suitable right particular purpose precisely accurate examine order test suitability arrange order classes categories specific prior time happening unexpectedly quickly without warning impulse without premeditation  marked curve smoothly rounded bend path eg marked bends angles straight aligned straight dishonest immoral evasive irregular shape outline back shoulders rounded erect spatially metaphorically lower higher position later time sloping upward greater normal degree intensity amount literal meaning sometimes used combinations like kneehigh standing others quality position used sounds voices high pitch frequency happy excited energetic used smell meat slightly pleasantly intoxicated alcohol drug especially marijuana advanced complexity elaboration education beyond secondary level;mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow indicate place direction person thing either spatially figuratively oriented direct position use direct course determine direction travelling signal symptom sail close wind mark hebrew words mark diacritics mark a psalm text positionable specified manner intend something indicate presence game give point repair joints bricks specific prior time time moment subsequently soon afterward often used sentence connectors case consequence time marked curve smoothly rounded bend turn sharply change direction abruptly extend curves turns form arch curve bend cause bend form curl curve kink spatially metaphorically lower higher position later time
articulated lorry;🚛;\xF0\x9F\x9A\x9B;<ed><a0><bd><ed><ba><9b>;articulated utter express lorry wagon van;consisting segments held together joints without qualification used informally often pejorative complete absolute tacit implied without unnecessary stops large low horsedrawn wagon without sides large truck designed carry heavy loads usually without sides various kinds wheeled vehicles drawn animal tractor van used police transport prisoners group seven bright stars constellation ursa major childs fourwheeled toy cart sometimes used coasting car long body rear door space behind rear seat creative group active innovation application new concepts techniques given field especially arts leading units moving head army great britain camper equipped living quarters truck enclosed cargo space;consisting segments held together joints provide joint put words expression speak pronounce utter certain way unite forming joint joints express state clearly large low horsedrawn wagon without sides large truck designed carry heavy loads usually without sides
artist palette;🎨;\xF0\x9F\x8E\xA8;<ed><a0><bc><ed><be><a8>;artist inventor artisan palette palter platter;person whose creative work shows sensitivity imagination someone first think make something skilled worker practices trade handicraft range colour characteristic particular artist painting school art board provides flat surface artists mix paints range colors used one rounded armor plates armpits suit armor deliberately ambiguous unclear order mislead withhold information large shallow dish used serving food sound recording consisting disk continuous groove used reproduce music rotating phonograph needle tracks groove;person whose creative work shows sensitivity imagination range colour characteristic particular artist painting school art board provides flat surface artists mix paints range colors used one rounded armor plates armpits suit armor
astonished face;😲;\xF0\x9F\x98\xB2;<ed><a0><bd><ed><b8><b2>;astonished dumbfound bewilder face look light;filled emotional impact overwhelming surprise shock mystery bewildering mystery bewildering cause confused emotionally deal something unpleasant oppose hostility competition oriented certain direction often respect another reference point opposite opposite turn face turn face certain direction present somebody something usually accuse criticize turn expose face line edge of garment cover front surface perceive attention direct ones gaze towards give certain impression certain outward aspect certain outward facial expression search seek oriented certain direction often respect another reference point opposite take charge deal convey ones expression look forward probable occurrence accord appearance faith confidence comparatively little physical weight density used color military industry using or great degree quantity number psychologically light especially free sadness troubles characterized emitting light used vowels syllables easily assimilated alimentary canal rich heavily seasoned used soil of sound color moving easily quickly nimble demanding little effort burdensome little intensity power force physics chemistry weak likely lose consciousness thin insubstantial marked temperance indulgence less correct legal full amount often deliberately little importance intended primarily entertainment serious profound silly trivial designed ease movement carry little weight relatively calories lite light of sleep casual unrestrained sexual behavior light;filled emotional impact overwhelming surprise shock affect wonder deal something unpleasant oppose hostility competition oriented certain direction often respect another reference point opposite opposite turn face turn face certain direction present somebody something usually accuse criticize turn expose face line edge of garment cover front surface front human head forehead chin ear ear feelings expressed persons face general outward appearance something striking working surface implement part person used refer person surface forming part outside object part animal corresponding human face side upon use thing depends usually prominent surface object contorted facial expression specific size style type within type family status eyes others impudent aggressiveness vertical surface building cliff
athletic shoe;👟;\xF0\x9F\x91\x9F;<ed><a0><bd><ed><b1><9f>;athletic vigorous energetic shoe sneaker pump;relating befitting athletics athletes vigorously active sturdy well proportioned body characterized forceful energetic action activity strong active physically mentally possessing exerting displaying energy working hard promote enterprise furnish shoes canvas shoe pliable rubber sole someone acting informer decoy police operate like pump move down like handle pedal deliver forth draw pour pump supply great quantities flow intermittently move raise gases fluids question persistently;relating befitting athletics athletes vigorously active sturdy well proportioned body furnish shoes footwear shaped fit foot below ankle card games ushaped plate nailed underside horses hoof restraint provided brake linings moved hydraulically brake drum retard wheels rotation
aubergine;🍆;\xF0\x9F\x8D\x86;<ed><a0><bc><ed><bd><86>;aubergine auberges aborigine;hairy upright herb native southeastern asia widely cultivated large glossy edible fruit commonly used vegetable eggshaped vegetable shiny skin typically dark purple occasionally white yellow hotel providing overnight lodging travelers indigenous person born particular place member people living australia europeans arrived;hairy upright herb native southeastern asia widely cultivated large glossy edible fruit commonly used vegetable eggshaped vegetable shiny skin typically dark purple occasionally white yellow
automated teller machine;🏧;\xF0\x9F\x8F\xA7;<ed><a0><bc><ed><bf><a7>;automated electronic mechanical teller bank employee cashier machine engine apparatus;operated automation relating electronics concerned using devices operate principles governing behavior electrons concerned electrons using or using relating concerned machinery tools relating governed accordance mechanics united states physicist born hungary 19082003 official appointed count votes especially legislative assembly employee bank receives pays money someone tells story tip laterally enclose bank business bank keep account bank act banker game gambling banking business put bank account cover ashes control rate burning faith confidence worker hired perform job discard away discharge dishonor army turn shape mold otherwise finish machinery make machinery motor converts thermal energy mechanical work something used achieve purpose wheeled vehicle consisting selfpropelled engine used draw trains along railway tracks instrument machine used warfare battering ram catapult artillery piece etc equipment designed serve specific function anatomy;operated automation make automatic control operate automatically united states physicist born hungary 19082003 official appointed count votes especially legislative assembly employee bank receives pays money someone tells story turn shape mold otherwise finish machinery make machinery mechanical electrical device transmits modifies energy perform assist performance human tasks efficient person intricate organization accomplishes goals efficiently device overcoming resistance one point applying force point group controls activities political party motor vehicle four wheels usually propelled internal combustion engine
automobile;🚗;\xF0\x9F\x9A\x97;<ed><a0><bd><ed><ba><97>;automobile transportation auto;travel automobile facility consisting means equipment necessary movement passengers goods act moving something one location another sum charged riding public conveyance united states federal department institutes coordinates national transportation programs created 1966 commercial enterprise moving goods materials act expelling person native land motor vehicle four wheels usually propelled internal combustion engine;travel automobile motor vehicle four wheels usually propelled internal combustion engine
baby;👶;\xF0\x9F\x91\xB6;<ed><a0><bd><ed><b1><b6>;baby little dwarf;treat excessive indulgence limited average number quantity magnitude extent small quantifier used mass nouns a of children animals informal small of voice low stature tall lowercase small way arouses feelings of tenderness opposite depending context make appear small comparison check growth;treat excessive indulgence young child birth 1 year youngest member group not necessarily young immature childish person unborn child human fetus young mammal project personal concern someone
baby angel;👼;\xF0\x9F\x91\xBC;<ed><a0><bd><ed><b1><bc>;baby little dwarf angel guardian cherub;treat excessive indulgence limited average number quantity magnitude extent small quantifier used mass nouns a of children animals informal small of voice low stature tall lowercase small way arouses feelings of tenderness opposite depending context make appear small comparison check growth spiritual attendant upon god person exceptional holiness invests theatrical production highest waterfall one leap flow varies seasonally person cares persons property sweet innocent baby angel second order whose gift knowledge usually portrayed winged child;treat excessive indulgence young child birth 1 year youngest member group not necessarily young immature childish person unborn child human fetus young mammal project personal concern someone spiritual attendant upon god person exceptional holiness invests theatrical production highest waterfall one leap flow varies seasonally
baby bottle;🍼;\xF0\x9F\x8D\xBC;<ed><a0><bc><ed><bd><bc>;baby little dwarf bottle vial glass;treat excessive indulgence limited average number quantity magnitude extent small quantifier used mass nouns a of children animals informal small of voice low stature tall lowercase small way arouses feelings of tenderness opposite depending context make appear small comparison check growth store liquids gases put bottles small bottle contains drug especially sealed sterile container injection needle furnish glass scan game forest enclose glass put glass container become glassy take glasslike appearance;treat excessive indulgence young child birth 1 year youngest member group not necessarily young immature childish person unborn child human fetus young mammal project personal concern someone store liquids gases put bottles glass plastic vessel used storing drinks liquids typically cylindrical without handles narrow neck plugged capped quantity contained bottle vessel fitted flexible teat filled milk formula used substitute breast feeding infants young children
baby chick;🐤;\xF0\x9F\x90\xA4;<ed><a0><bd><ed><b0><a4>;baby little dwarf chick sprout woman;treat excessive indulgence limited average number quantity magnitude extent small quantifier used mass nouns a of children animals informal small of voice low stature tall lowercase small way arouses feelings of tenderness opposite depending context make appear small comparison check growth young bird especially domestic fowl informal terms young produce buds branches germinate put forth grow sprouts shoots adult female person as opposed man female person plays significant role wife mistress girlfriend human female employed housework women class;treat excessive indulgence young child birth 1 year youngest member group not necessarily young immature childish person unborn child human fetus young mammal project personal concern someone young bird especially domestic fowl informal terms young
baby symbol;🚼;\xF0\x9F\x9A\xBC;<ed><a0><bd><ed><ba><bc>;baby little dwarf symbol design emblem;treat excessive indulgence limited average number quantity magnitude extent small quantifier used mass nouns a of children animals informal small of voice low stature tall lowercase small way arouses feelings of tenderness opposite depending context make appear small comparison check growth arbitrary sign written printed something visible association convention represents something else invisible make work plan for devise plan something specific role purpose effect create design for create execute artistic highly skilled manner make design of plan systematic often graphic form create designs conceive fashion mind invent intend purpose special design visual object representing quality type group etc visible symbol representing abstract idea;treat excessive indulgence young child birth 1 year youngest member group not necessarily young immature childish person unborn child human fetus young mammal project personal concern someone arbitrary sign written printed something visible association convention represents something else invisible
back with leftwards arrow above;🔙;\xF0\x9F\x94\x99;<ed><a0><bd><ed><b4><99>;back backward behind with along alongside leftwards afterwards soft words arrow missile projectile above raised high;related located back located near back animal hind earlier date directed facing toward back rear used temperament behavior retarded intellectual development made less normal progress lower score lagging position contest forward motion accompaniment companion advanced state addition usually followed with side side happening time subsequent reference time yielding readily pressure weight compassionate kind conciliatory of sound easily hurt produced vibration vocal cords protected attack especially nuclear weapons used chiefly direction description music of light of speech sounds s sh of commodity market currency using evidence readily amenable experimental verification refutation tolerant lenient soft mild harsh stern severe little impact light condition strong robust incapable exertion endurance willing negotiate compromise burdensome demanding borne done easily without hardship mild pleasant brilliant glaring put words expression mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow rocket carrying warhead conventional nuclear explosives may ballistic directed remote control weapon forcibly thrown projected targets selfpropelled impelling impelled forward appearing earlier text located moved surround normal position embellished raised pattern created pressure embroidery increased amount degree greater normal degree intensity amount literal meaning sometimes used combinations like kneehigh standing others quality position used sounds voices high pitch frequency happy excited energetic used smell meat slightly pleasantly intoxicated alcohol drug especially marijuana;related located back located near back animal hind earlier date behind approve travel backward give support ones approval cause travel backward support financial backing back place bet shift counterclockwise direction establish valid genuine strengthen providing back backing posterior part human or animal side goes last normally seen part something furthest normal viewer football series vertebrae forming axis skeleton protecting spinal cord protective covering front back spine book part garment covers back body support lean sitting american football toward former location toward back rear toward original condition toward past time reply repayment retaliation mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow appearing earlier text earlier section written text in writing place higher
bactrian camel;🐫;\xF0\x9F\x90\xAB;<ed><a0><bd><ed><b0><ab>;bactrian bacterium victorian camel tan cream;microbiology relating queen victoria great britain age ruled exaggeratedly proper typical moral standards conduct age queen victoria cudchewing mammal used draft saddle animal desert regions light yellowishbrown color make creamy beating beat thoroughly conclusively competition fight put cream ones face body remove surface add cream ones coffee example;cudchewing mammal used draft saddle animal desert regions
baggage claim;🛄;\xF0\x9F\x9B\x84;<ed><a0><bd><ed><bb><84>;baggage equipment paraphernalia claim case requirement;cases used carry belongings traveling worthless immoral woman portable equipment supplies army instrumentality needed undertaking perform service equipment consisting miscellaneous articles needed particular operation sport etc assert affirm strongly state true existing demand ones due property assert ones right title ask legally make legal claim to debts example lay claim to idea take undesirable consequence event state affairs look over usually intention rob enclose in in case required activity anything indispensable something required advance;cases used carry belongings traveling worthless immoral woman portable equipment supplies army assert affirm strongly state true existing demand ones due property assert ones right title ask legally make legal claim to debts example lay claim to idea take undesirable consequence event state affairs assertion right as money property assertion something true factual demand something rightful due informal right something established recognized right
balloon;🎈;\xF0\x9F\x8E\x88;<ed><a0><bc><ed><be><88>;balloon blimp dirigible;ride hotair balloon become inflated elderly pompous reactionary ultranationalistic person after cartoon character created sir david low small nonrigid airship used observation barrage balloon capable steered directed;ride hotair balloon become inflated large tough nonrigid bag filled gas heated air small thin inflatable rubber bag narrow neck
